limit_bal,sex,education,marriage,age,pay_1,pay_2,bill_amt1,bill_amt2,pay_amt1,pay_amt2,default_payment_next_month,age_range,age_range_int,sum_pay,mean_bill,mean_pay_amt
190000,2,1.0,2.0,44,0,0,181045,184249,8000,7000,0,43-46,15,0,785563.0,28000.0
30000,2,2.0,1.0,38,0,0,23819,15367,1553,1033,0,37-38,9,0,71665.0,5052.0
300000,2,1.0,1.0,39,1,2,6077,5806,29,3009,0,38-40,10,-1,27291.0,15482.0
20000,1,2.0,1.0,27,0,0,17062,19248,2850,0,0,26-27,11,2,109112.0,7934.0
20000,1,2.0,1.0,35,0,0,17584,19819,3013,1005,0,34-35,8,-1,58493.0,9668.0
80000,2,3.0,2.0,22,0,0,37990,39400,2400,15674,0,21-23,20,-6,93061.0,18074.0
240000,1,2.0,1.0,33,0,0,225312,229394,8000,7400,0,31-33,2,0,1283819.0,42900.0
90000,2,3.0,2.0,26,0,0,14692,15722,1269,1280,0,25-26,6,0,100745.0,6151.0
100000,2,2.0,1.0,43,0,0,98944,75296,4000,5000,0,41-43,14,0,413165.0,30000.0
320000,1,1.0,,32,-1,-1,802,4929,4929,2064,0,31-33,2,-6,16630.0,18638.0
360000,1,2.0,1.0,45,2,2,2500,0,0,0,0,43-46,15,-4,2500.0,0.0
180000,1,2.0,1.0,38,1,2,2826,4612,2000,200,1,37-38,9,5,22275.0,2824.0
300000,1,2.0,1.0,40,-2,-2,15876,4347,4347,0,0,38-40,10,-12,32486.0,16610.0
20000,2,1.0,2.0,22,-2,-2,-9,-9,0,913,0,21-23,20,-11,1492.0,9195.0
270000,2,2.0,2.0,26,0,0,29951,12211,1300,1533,0,25-26,6,0,101614.0,7752.0
20000,2,3.0,2.0,49,0,0,19437,20154,1337,2000,0,46-49,16,0,116715.0,6127.0
360000,2,2.0,1.0,35,0,0,39685,32219,1600,3019,0,34-35,8,0,160891.0,8959.0
120000,1,2.0,1.0,38,0,0,50441,41960,2000,1361,0,37-38,9,0,202866.0,6848.0
130000,2,3.0,2.0,27,0,0,129150,105529,5300,5400,0,26-27,11,0,684384.0,32600.0
60000,2,3.0,2.0,45,0,0,54920,39886,1726,1502,0,43-46,15,0,247763.0,8172.0
60000,1,2.0,1.0,36,0,0,46064,47320,2000,1805,0,35-37,13,0,293283.0,11605.0
120000,2,3.0,2.0,31,-1,-1,1769,390,390,390,0,30-31,1,-6,3719.0,3029.0
130000,1,3.0,2.0,33,0,0,92457,95365,6000,5000,0,31-33,2,0,593306.0,29000.0
360000,2,1.0,1.0,31,-1,-1,460,460,460,460,0,30-31,1,-7,1779.0,1319.0
10000,1,3.0,2.0,24,-1,-1,6217,5082,5112,5400,0,23-25,19,-3,23841.0,15557.0
120000,2,1.0,2.0,24,-1,-1,600,0,0,0,0,23-25,19,-10,600.0,0.0
60000,1,2.0,2.0,26,2,2,61103,61380,3000,2746,1,25-26,6,8,423403.0,11076.0
240000,2,1.0,1.0,40,2,2,2500,2500,0,0,1,38-40,10,4,7500.0,0.0
160000,2,2.0,1.0,40,0,0,137695,146193,12121,0,0,38-40,10,4,852050.0,32677.0
200000,2,2.0,1.0,44,-2,-2,0,138,138,0,0,43-46,15,-12,1882.0,41293.0
300000,1,1.0,2.0,29,-2,-2,0,0,0,150,0,28-29,3,-9,3700.0,3700.0
100000,2,2.0,2.0,26,-1,-1,780,0,0,390,0,25-26,6,-6,2330.0,1950.0
280000,2,1.0,1.0,30,0,0,217773,215017,8155,10048,0,29-30,4,0,1056629.0,46749.0
190000,2,2.0,2.0,26,-1,-1,11613,10000,10000,10000,0,25-26,6,-6,62554.0,129968.0
50000,1,2.0,1.0,48,1,2,17613,18334,1298,0,0,46-49,16,9,111001.0,4798.0
210000,2,3.0,1.0,33,0,0,31570,32756,2000,2000,0,31-33,2,2,207444.0,9734.0
120000,2,1.0,2.0,26,0,0,110934,99271,4432,2988,0,25-26,6,0,536132.0,20600.0
140000,2,1.0,2.0,33,-2,-2,1825,0,0,1264,0,31-33,2,-12,5069.0,4595.0
50000,2,1.0,2.0,23,-2,-2,807,0,0,0,0,21-23,20,-12,807.0,0.0
150000,2,1.0,2.0,31,-2,-1,2005,2869,2876,16732,0,30-31,1,-9,32116.0,71541.0
50000,1,1.0,2.0,23,4,3,27101,26431,88,12,0,21-23,20,11,96175.0,11721.0
120000,1,1.0,1.0,50,1,-2,0,-2008,0,0,1,49-53,17,-5,8299.0,18339.0
240000,2,1.0,2.0,29,-1,0,30380,15579,10023,10000,0,28-29,3,-1,129979.0,60023.0
20000,1,1.0,2.0,26,0,-1,1490,3150,3150,10464,0,25-26,6,-5,34950.0,53260.0
80000,2,2.0,2.0,24,0,0,78913,78726,2900,2329,0,23-25,19,0,405178.0,17029.0
140000,2,2.0,1.0,28,0,0,99296,89391,3205,2894,0,27-28,7,0,357976.0,12599.0
50000,2,2.0,2.0,25,0,0,28428,27383,2000,1110,0,23-25,19,0,89090.0,6235.0
150000,2,2.0,,26,-2,-2,4181,25988,26034,3182,0,25-26,6,-12,95012.0,92416.0
90000,2,3.0,1.0,53,0,0,65237,62521,2255,2200,1,49-53,17,0,355684.0,12346.0
640000,1,1.0,2.0,36,0,0,192325,68891,4000,4000,0,35-37,13,0,445353.0,24000.0
360000,1,1.0,2.0,31,-1,-1,15285,52698,53751,2879,0,30-31,1,-6,94268.0,122148.0
130000,2,2.0,1.0,33,-1,-1,2454,1456,1500,382,0,31-33,2,-6,7986.0,8882.0
210000,2,1.0,1.0,34,0,0,201324,207222,10646,8601,0,33-34,5,0,919529.0,33267.0
190000,1,1.0,2.0,36,2,2,107689,109678,5200,4500,1,35-37,13,12,670925.0,27200.0
150000,2,1.0,1.0,44,-1,-1,1365,0,0,839,0,43-46,15,-4,6872.0,4814.0
10000,1,3.0,2.0,25,-1,-1,3161,390,390,390,0,23-25,19,-6,5611.0,8830.0
30000,2,1.0,1.0,24,-1,-1,9280,2643,2643,3415,1,23-25,19,-6,20918.0,11638.0
200000,1,1.0,1.0,67,1,-2,0,0,0,0,1,53-79,18,-9,0.0,0.0
140000,2,1.0,2.0,25,3,2,21593,14021,0,2000,1,23-25,19,5,237794.0,122000.0
170000,2,2.0,2.0,30,0,0,121009,136552,19078,0,0,29-30,4,2,756901.0,38078.0
20000,2,2.0,2.0,24,2,2,6270,8284,2284,0,1,23-25,19,6,26054.0,9299.0
80000,2,2.0,1.0,45,0,0,82150,0,0,0,0,43-46,15,-8,82150.0,0.0
110000,1,2.0,1.0,49,0,0,51803,52888,1921,2563,0,46-49,16,0,328448.0,11488.0
150000,2,1.0,2.0,28,0,0,147933,111608,3202,20088,0,27-28,7,-2,384153.0,23990.0
50000,2,2.0,2.0,43,-1,0,26342,27457,1547,1251,0,41-43,14,-1,135728.0,5984.0
50000,2,3.0,1.0,70,2,2,54084,51564,0,2504,0,53-79,18,4,247670.0,7605.0
50000,1,3.0,1.0,50,2,0,48607,49540,2100,1500,0,49-53,17,2,207333.0,7300.0
10000,2,2.0,2.0,22,0,0,2274,3297,1067,1500,1,21-23,20,0,31506.0,8432.0
280000,2,1.0,2.0,38,-1,0,17878,14011,2000,30000,1,37-38,9,-3,104655.0,63000.0
50000,1,2.0,2.0,42,2,2,51614,52034,2000,39,0,41-43,14,6,215167.0,5157.0
10000,2,1.0,2.0,22,0,0,9397,9709,1200,1153,0,21-23,20,0,59464.0,3836.0
140000,2,2.0,1.0,28,0,0,131292,134057,7000,5820,0,27-28,7,0,661559.0,28954.0
140000,1,1.0,1.0,34,2,2,104651,105162,5000,3600,1,33-34,5,8,620530.0,20203.0
300000,1,1.0,1.0,45,0,0,193462,185703,6835,7542,0,43-46,15,0,1032124.0,37809.0
30000,2,2.0,1.0,26,1,2,27330,28090,1500,1517,0,25-26,6,7,169148.0,8260.0
200000,1,3.0,1.0,47,0,0,185272,189657,10000,10000,0,46-49,16,2,696469.0,34000.0
270000,2,2.0,2.0,26,0,-1,33224,52425,52425,27595,1,25-26,6,-3,266588.0,151738.0
90000,2,2.0,,36,0,0,91458,91049,3137,5094,0,35-37,13,0,337308.0,12613.0
10000,1,2.0,2.0,26,2,2,2400,2400,0,0,1,25-26,6,32,14400.0,0.0
50000,2,3.0,2.0,22,2,2,22719,18408,0,1573,0,21-23,20,4,118407.0,4790.0
80000,2,1.0,2.0,25,-2,-2,0,0,0,988,0,23-25,19,-12,988.0,988.0
110000,2,2.0,2.0,26,0,0,65800,67251,2510,4000,0,25-26,6,0,432770.0,20987.0
370000,1,1.0,2.0,30,0,-1,6592,3563,4000,192718,0,29-30,4,-2,625968.0,211718.0
50000,1,2.0,2.0,23,-1,0,1678,1440,1200,1322,0,21-23,20,-5,6931.0,5882.0
10000,1,2.0,2.0,37,-1,-1,885,1475,1475,780,0,35-37,13,-4,4700.0,33505.0
180000,2,1.0,2.0,27,0,0,99137,119635,22500,121,0,26-27,11,2,675709.0,77621.0
60000,2,2.0,1.0,59,4,4,56998,59111,3601,2000,0,53-79,18,22,346501.0,9601.0
90000,2,1.0,1.0,43,0,0,58043,61485,5003,5000,1,41-43,14,4,425736.0,40204.0
120000,2,1.0,1.0,30,1,-2,0,0,0,0,0,29-30,4,-8,150.0,350.0
110000,1,1.0,2.0,30,0,0,110800,112008,4404,2826,0,29-30,4,0,467054.0,15097.0
280000,2,3.0,1.0,61,0,0,162734,146990,7000,6000,0,53-79,18,0,915368.0,35500.0
200000,1,1.0,2.0,28,0,-1,7464,22182,22182,7,0,27-28,7,1,214434.0,214088.0
130000,1,2.0,2.0,29,0,0,62530,62562,2272,2230,0,28-29,3,0,381733.0,16245.0
200000,2,2.0,2.0,28,1,2,61844,60294,0,5000,1,27-28,7,7,391057.0,16000.0
50000,2,2.0,2.0,26,0,0,29356,30483,1603,1300,1,25-26,6,0,147453.0,5538.0
30000,1,3.0,1.0,53,0,0,1596,0,0,0,0,49-53,17,-8,1596.0,0.0
230000,2,1.0,1.0,30,-1,-1,13995,28064,28097,23352,0,29-30,4,-6,103020.0,100520.0
180000,2,1.0,2.0,31,-1,-1,3920,1020,1020,0,0,30-31,1,-6,34383.0,48139.0
220000,1,1.0,1.0,40,0,0,129597,147323,20000,8000,0,38-40,10,0,677028.0,52000.0
50000,1,1.0,2.0,46,0,0,51400,0,0,0,0,43-46,15,-8,51400.0,0.0
20000,1,1.0,2.0,27,1,-2,0,0,0,0,0,26-27,11,-9,0.0,0.0
250000,2,2.0,2.0,40,-1,-1,2348,329,329,5000,0,38-40,10,-4,22406.0,22329.0
50000,1,3.0,2.0,41,0,0,47384,48814,2194,2151,0,40-41,12,-2,185076.0,25800.0
180000,2,2.0,2.0,26,0,0,10874,9324,2000,2000,0,25-26,6,0,48017.0,19629.0
320000,1,2.0,2.0,44,-1,-1,36831,28785,28791,13227,0,43-46,15,-10,96980.0,73045.0
10000,2,3.0,1.0,41,-1,-1,780,780,1473,0,1,40-41,12,-2,3900.0,2643.0
320000,2,1.0,2.0,31,-2,-2,1345,5458,5458,9579,0,30-31,1,-11,24803.0,23765.0
250000,1,2.0,2.0,30,0,0,170559,173347,6523,7992,0,29-30,4,0,1028266.0,39237.0
30000,1,2.0,2.0,24,1,2,20985,20393,0,2403,0,23-25,19,10,112596.0,4403.0
260000,1,2.0,2.0,31,-1,-1,326,326,652,326,0,30-31,1,-6,1956.0,2100.0
130000,2,2.0,1.0,37,0,0,122944,121530,6013,5312,0,35-37,13,0,693594.0,27114.0
180000,2,1.0,1.0,30,0,0,149069,152317,7500,8000,1,29-30,4,2,939984.0,44000.0
270000,2,1.0,2.0,27,0,0,200750,204418,9500,8929,0,26-27,11,0,1070928.0,41494.0
80000,2,3.0,2.0,30,0,0,36676,38247,2165,2774,0,29-30,4,-1,202896.0,42085.0
30000,2,1.0,2.0,27,-1,0,418,1470,1052,1000,0,26-27,11,-2,16417.0,11645.0
100000,1,3.0,1.0,35,2,2,101326,97751,0,3500,1,34-35,8,8,571400.0,17500.0
340000,2,2.0,2.0,33,0,0,336190,301626,10300,10302,1,31-33,2,0,1899523.0,64138.0
210000,2,2.0,1.0,26,0,0,207033,202432,9000,5500,0,25-26,6,0,819759.0,159414.0
280000,2,1.0,2.0,27,-2,-2,-5,-5,0,0,0,26-27,11,-12,9282.0,242602.0
710000,1,2.0,2.0,33,-1,-1,8471,16849,17330,944,0,31-33,2,-6,41017.0,59612.0
50000,2,2.0,2.0,23,0,0,42790,39480,1635,1423,0,21-23,20,0,205825.0,7647.0
190000,1,1.0,2.0,35,0,0,24873,23522,1807,2000,0,34-35,8,0,138716.0,11846.0
400000,2,1.0,2.0,32,0,0,48419,51886,5000,3000,0,31-33,2,0,336775.0,28000.0
110000,2,3.0,1.0,53,-2,-2,1457,745,745,0,0,49-53,17,-12,2202.0,745.0
20000,2,2.0,1.0,23,2,0,16219,17626,1674,1446,1,21-23,20,4,95923.0,5684.0
20000,2,1.0,2.0,25,2,2,18446,17859,0,1718,1,23-25,19,4,110962.0,6418.0
20000,2,2.0,1.0,29,1,2,12186,11700,0,2000,0,28-29,3,11,75276.0,3270.0
20000,1,2.0,2.0,23,1,2,4673,6433,2000,0,0,21-23,20,9,38997.0,6700.0
230000,2,1.0,2.0,43,0,0,39677,39261,5000,5000,0,41-43,14,0,224044.0,25459.0
180000,1,2.0,1.0,37,-1,-1,14480,33915,34045,5217,0,35-37,13,-4,77861.0,63610.0
280000,1,2.0,1.0,41,-1,-1,3520,3110,3110,3188,0,40-41,12,-6,34168.0,32352.0
510000,2,1.0,2.0,36,0,0,234900,214522,9975,8200,0,35-37,13,0,1271927.0,46820.0
150000,1,2.0,1.0,40,0,0,141697,144833,7000,7000,0,38-40,10,0,842587.0,41021.0
20000,1,3.0,2.0,26,2,0,17880,19224,1641,2400,1,25-26,6,2,114269.0,7973.0
110000,2,3.0,1.0,38,0,0,100699,88694,3530,3066,0,37-38,9,0,370771.0,12677.0
230000,2,1.0,2.0,34,-1,2,907,591,0,1000,1,33-34,5,0,35473.0,38500.0
180000,2,1.0,2.0,27,0,0,124501,126822,5000,6000,0,26-27,11,0,767778.0,31000.0
230000,2,3.0,2.0,36,0,0,13809,13533,1533,1200,0,35-37,13,0,85824.0,9287.0
370000,2,1.0,2.0,35,0,0,40229,-101,0,0,0,34-35,8,-4,354963.0,176354.0
500000,2,1.0,2.0,30,-2,-2,1078,5543,5562,810,0,29-30,4,-10,8972.0,35561.0
260000,2,2.0,1.0,43,1,-2,0,-416,0,0,0,41-43,14,-5,982.0,3478.0
80000,1,2.0,1.0,53,0,0,5800,6666,1000,0,1,49-53,17,-6,12466.0,1000.0
140000,2,2.0,2.0,27,1,2,118013,123630,9044,8200,0,26-27,11,12,750676.0,28118.0
50000,1,1.0,2.0,30,0,0,29994,30756,2000,1300,0,29-30,4,4,181990.0,31300.0
50000,2,2.0,1.0,45,0,0,26615,22241,2000,2000,0,43-46,15,6,115489.0,6500.0
80000,1,1.0,2.0,32,-1,-1,4055,0,0,0,0,31-33,2,-10,4055.0,0.0
150000,2,2.0,2.0,28,0,0,85118,88844,5000,5000,1,27-28,7,0,505844.0,30000.0
50000,2,2.0,1.0,46,0,0,49859,49160,2438,2200,0,43-46,15,0,236749.0,9177.0
80000,1,2.0,,39,2,0,76123,54669,2000,1500,0,38-40,10,2,244180.0,8400.0
140000,2,1.0,1.0,40,0,0,67371,69027,3100,3888,0,38-40,10,0,372323.0,19388.0
140000,2,1.0,2.0,30,0,0,105732,99769,5000,5500,0,29-30,4,0,622214.0,28500.0
50000,2,2.0,2.0,24,-1,-1,1580,306,306,995,0,23-25,19,-5,6148.0,4466.0
30000,2,2.0,2.0,24,0,0,25111,27558,3551,0,0,23-25,19,2,163911.0,8875.0
230000,1,2.0,2.0,32,0,0,171111,164406,7468,3000,1,31-33,2,0,644754.0,21654.0
150000,2,2.0,2.0,26,0,0,94347,96358,5000,4500,0,25-26,6,0,594025.0,30000.0
200000,2,2.0,1.0,53,-1,-1,5059,0,0,16556,0,49-53,17,-7,68755.0,63696.0
110000,2,1.0,1.0,41,2,2,150,150,0,0,0,40-41,12,32,900.0,0.0
150000,2,2.0,1.0,44,0,0,17723,19440,2019,2020,0,43-46,15,0,88061.0,11039.0
200000,2,3.0,1.0,46,-1,-1,1207,5590,5590,2500,1,43-46,15,-8,9297.0,8090.0
180000,2,3.0,2.0,33,1,-1,0,199,199,0,0,31-33,2,-2,978.0,779.0
90000,2,1.0,2.0,29,-1,-1,6146,6193,6198,200,0,28-29,3,-4,17426.0,9597.0
200000,2,1.0,2.0,30,-1,-1,105,271,271,588,1,29-30,4,-6,1812.0,1707.0
230000,2,2.0,1.0,45,-1,-1,107,107,107,1741,0,43-46,15,-4,2169.0,2062.0
80000,1,1.0,2.0,29,-1,0,17562,17709,3015,2008,0,28-29,3,-1,89125.0,11151.0
230000,2,1.0,2.0,33,-1,-1,6283,0,0,0,0,31-33,2,-10,6283.0,0.0
340000,2,2.0,2.0,31,4,3,581775,572677,0,0,1,30-31,1,6,2318547.0,301309.0
290000,2,2.0,1.0,53,-1,-1,1538,199,199,1440,0,49-53,17,-6,12890.0,16386.0
60000,2,3.0,1.0,41,0,0,55773,55953,2627,2700,0,40-41,12,0,332365.0,15627.0
320000,2,1.0,2.0,29,0,0,12130,0,0,0,1,28-29,3,-4,45377.0,17991.0
200000,2,2.0,2.0,25,-2,-2,22701,7940,0,10145,0,23-25,19,-7,96524.0,51776.0
50000,2,3.0,1.0,54,0,0,16648,16200,1588,1483,0,53-79,18,0,87334.0,4894.0
50000,1,3.0,2.0,24,4,3,27226,26508,0,1200,1,23-25,19,13,161732.0,4645.0
230000,2,2.0,1.0,43,0,0,84821,87055,4293,4162,0,41-43,14,0,537742.0,28455.0
130000,2,1.0,2.0,29,0,0,106271,119728,15107,5000,0,28-29,3,8,696608.0,29307.0
80000,2,3.0,1.0,39,-1,-1,715,2012,2012,3550,0,38-40,10,-6,17034.0,16319.0
120000,2,1.0,2.0,31,0,0,82683,83075,4445,4020,0,30-31,1,2,427164.0,19665.0
200000,2,2.0,1.0,34,0,0,4798,4490,1125,1000,0,33-34,5,-4,16795.0,4266.0
300000,1,3.0,2.0,34,-1,-1,4741,3767,3767,10436,0,33-34,5,-6,32792.0,28257.0
200000,2,2.0,1.0,36,-1,-1,1070,4078,4107,1099,0,35-37,13,-6,9544.0,9602.0
80000,2,2.0,1.0,46,0,0,34494,35930,2000,2000,0,43-46,15,0,226453.0,11500.0
80000,2,3.0,2.0,32,1,-1,-137,41873,42010,11047,0,31-33,2,-2,65955.0,66389.0
60000,2,1.0,2.0,25,0,0,51907,52997,1935,2000,0,23-25,19,0,325797.0,13935.0
30000,2,2.0,1.0,30,0,0,25156,25949,1500,3000,0,29-30,4,2,165763.0,9201.0
300000,2,2.0,1.0,42,-1,-1,38913,319,319,8157,0,41-43,14,-6,70461.0,78922.0
100000,2,1.0,1.0,38,0,0,66762,68566,5000,2436,0,37-38,9,0,352166.0,18436.0
290000,2,1.0,2.0,31,0,0,44193,15950,1380,1212,0,30-31,1,-1,99500.0,8418.0
270000,1,,2.0,39,1,-1,0,10193,10193,70213,0,38-40,10,-5,98353.0,99813.0
70000,2,2.0,2.0,24,0,-1,7033,1602,1954,28000,1,23-25,19,-2,122700.0,62951.0
90000,2,2.0,1.0,24,-2,-2,91272,91337,5000,3069,0,23-25,19,-12,439466.0,53594.0
170000,2,1.0,2.0,26,0,0,108426,109889,3600,3111,0,25-26,6,0,556304.0,19218.0
80000,2,2.0,1.0,36,0,0,69760,60445,2500,2061,1,35-37,13,0,302058.0,11143.0
100000,2,2.0,1.0,41,0,0,95326,97972,4825,4600,0,40-41,12,0,521118.0,21365.0
240000,1,1.0,1.0,47,-2,-2,5731,0,0,0,0,46-49,16,-12,5731.0,0.0
290000,2,1.0,1.0,41,-1,-1,11200,0,0,970,0,40-41,12,-7,14354.0,4294.0
120000,2,1.0,2.0,27,1,-2,0,0,0,0,1,26-27,11,-9,0.0,0.0
200000,1,2.0,2.0,26,0,0,103194,107027,5500,4000,0,25-26,6,0,656794.0,28142.0
20000,1,2.0,2.0,22,0,0,13447,10232,2200,2000,0,21-23,20,0,45118.0,7600.0
500000,1,1.0,1.0,38,-1,-1,75433,26358,27486,7860,0,37-38,9,-6,126092.0,63442.0
100000,2,2.0,2.0,25,0,0,98349,97473,3600,3000,0,23-25,19,0,518535.0,17900.0
350000,1,1.0,1.0,55,-1,-1,5961,6318,6326,1485,0,53-79,18,-6,30233.0,24280.0
50000,2,2.0,2.0,24,1,2,34069,23196,0,1636,0,23-25,19,3,137419.0,5336.0
340000,2,2.0,1.0,52,0,0,331508,319742,12100,10000,0,49-53,17,0,1501979.0,51100.0
180000,2,2.0,1.0,29,0,0,26000,26310,1800,1500,0,28-29,3,0,156756.0,7356.0
300000,2,1.0,1.0,54,-1,-1,1080,-18,0,4208,0,53-79,18,-6,15821.0,20423.0
220000,2,1.0,1.0,32,1,2,17325,16758,0,2000,0,31-33,2,7,115273.0,6500.0
80000,1,1.0,2.0,26,0,0,56417,50855,2600,4000,0,25-26,6,0,245929.0,18900.0
50000,2,2.0,1.0,32,0,0,44751,43952,1500,1239,0,31-33,2,0,172173.0,7135.0
100000,1,2.0,2.0,26,0,0,60077,62438,4000,3000,0,25-26,6,0,327146.0,14900.0
200000,1,1.0,2.0,27,0,0,58725,76287,30229,22946,0,26-27,11,-4,279742.0,230687.0
480000,2,1.0,1.0,45,-1,0,17976,10928,1008,650,0,43-46,15,-5,44330.0,17434.0
170000,2,2.0,1.0,34,0,0,35348,34622,1402,1789,0,33-34,5,0,171152.0,5895.0
20000,2,1.0,2.0,25,-1,0,15790,16906,1372,1500,1,23-25,19,-1,74169.0,7872.0
80000,1,2.0,1.0,28,0,0,32114,28984,1324,4122,1,27-28,7,0,91310.0,8585.0
80000,1,1.0,2.0,26,0,0,79650,80821,3515,2627,1,25-26,6,0,372089.0,14539.0
300000,1,2.0,1.0,31,1,2,250121,221336,10236,7063,0,30-31,1,3,697523.0,21358.0
150000,1,1.0,2.0,29,-1,-1,1934,12166,12170,8200,0,28-29,3,-2,46474.0,28530.0
50000,2,2.0,2.0,24,0,-1,14814,9631,10755,36671,0,23-25,19,-4,90226.0,48009.0
50000,2,2.0,1.0,26,-1,-1,1902,782,782,0,0,25-26,6,-7,7383.0,5481.0
100000,2,3.0,2.0,28,2,0,99627,101079,3796,3041,0,27-28,7,2,452120.0,16708.0
90000,2,2.0,1.0,45,-1,-1,37453,9009,24509,179,0,43-46,15,-8,46641.0,24688.0
70000,2,1.0,2.0,24,1,2,15932,16879,1500,0,1,23-25,19,11,101661.0,5208.0
90000,2,,2.0,23,0,0,83176,74918,3504,2942,0,21-23,20,0,282116.0,22019.0
400000,1,1.0,1.0,42,0,0,34084,36916,4085,1539,0,41-43,14,0,163198.0,20622.0
10000,1,2.0,2.0,36,0,0,7393,9400,2329,0,1,35-37,13,1,37107.0,11019.0
80000,1,1.0,2.0,27,0,0,72565,63342,10000,4000,0,26-27,11,0,292217.0,21500.0
70000,1,1.0,2.0,33,0,0,63845,65443,3224,1680,0,31-33,2,0,273909.0,8188.0
100000,1,3.0,1.0,44,2,2,30076,31287,2000,1200,0,43-46,15,12,190430.0,7200.0
210000,2,2.0,1.0,33,-1,-1,1971,748,822,0,1,31-33,2,-9,2719.0,822.0
360000,2,3.0,2.0,39,1,-2,0,0,0,0,1,38-40,10,-9,0.0,0.0
280000,1,1.0,1.0,28,1,2,285249,276229,5,10031,0,27-28,7,5,1502152.0,198776.0
180000,1,1.0,2.0,32,0,0,85040,77213,2937,2226,0,31-33,2,0,412556.0,14487.0
220000,1,1.0,1.0,45,1,2,157122,153320,0,7600,0,43-46,15,3,953676.0,37600.0
200000,1,1.0,2.0,47,-1,-1,696,696,696,696,0,46-49,16,-6,4326.0,4326.0
130000,2,2.0,2.0,25,1,2,52180,49874,0,5000,0,23-25,19,3,313283.0,28500.0
200000,1,2.0,1.0,47,-2,-2,389,389,390,390,0,46-49,16,-12,2334.0,2335.0
170000,2,1.0,1.0,44,-1,-1,29940,15903,15927,5641,0,43-46,15,-6,74836.0,48791.0
140000,1,1.0,2.0,30,0,-1,22778,6405,6500,2515,0,29-30,4,-5,32823.0,18015.0
50000,2,3.0,1.0,54,0,0,50318,50579,2008,3537,0,53-79,18,0,236681.0,14647.0
200000,2,3.0,2.0,26,0,0,22629,24943,3000,3000,0,25-26,6,2,190868.0,24700.0
200000,1,3.0,2.0,33,0,0,181542,173731,7100,5354,0,31-33,2,0,859491.0,29344.0
360000,2,3.0,1.0,36,2,0,150527,153900,7000,0,0,35-37,13,-4,304427.0,7000.0
50000,1,2.0,1.0,33,0,0,13538,9199,2000,1284,0,31-33,2,0,47249.0,4047.0
500000,2,1.0,2.0,37,-1,-1,6364,1625,1625,517,0,35-37,13,-6,12624.0,7740.0
90000,2,2.0,2.0,30,0,0,75382,73980,3350,3300,1,29-30,4,4,453810.0,17700.0
500000,1,1.0,2.0,36,-1,-1,2450,1038,1100,35157,0,35-37,13,-3,105139.0,54257.0
80000,2,3.0,1.0,33,0,0,78428,76513,3373,7248,0,31-33,2,0,375420.0,19355.0
230000,1,3.0,1.0,53,-1,-1,2150,9413,9413,6161,0,49-53,17,-6,73816.0,75287.0
120000,2,1.0,2.0,30,-1,-1,416,416,416,416,1,29-30,4,-6,2496.0,2496.0
190000,2,3.0,1.0,56,0,0,67211,63278,2818,2700,0,53-79,18,0,362045.0,14419.0
500000,1,2.0,1.0,50,0,0,265803,246770,16770,13989,0,49-53,17,0,1391189.0,165294.0
80000,2,2.0,1.0,42,1,-2,0,0,0,0,0,41-43,14,-9,0.0,0.0
450000,2,1.0,2.0,35,1,-2,0,0,0,3581,0,34-35,8,-4,7235.0,3654.0
280000,2,1.0,1.0,30,1,-2,0,0,0,0,0,29-30,4,-9,0.0,0.0
360000,2,3.0,1.0,47,-2,-2,1458,-4,0,3998,1,46-49,16,-12,12877.0,11917.0
30000,2,2.0,2.0,21,0,0,28871,28430,1802,1802,0,21-23,20,0,172809.0,8781.0
50000,2,2.0,1.0,25,0,0,35676,34407,3400,0,1,23-25,19,4,202108.0,10500.0
60000,2,2.0,1.0,49,1,-2,0,0,0,0,1,46-49,16,-9,0.0,0.0
30000,2,2.0,1.0,28,0,0,8618,9975,1700,1020,0,27-28,7,-1,25221.0,4926.0
20000,1,2.0,1.0,49,0,0,16348,10535,2010,1508,1,46-49,16,-2,47723.0,4518.0
20000,1,3.0,,57,1,2,20442,20141,1200,1300,0,53-79,18,3,121287.0,6500.0
200000,1,1.0,1.0,43,2,0,43272,21546,2000,2000,1,41-43,14,-2,69215.0,4000.0
100000,2,1.0,2.0,25,-2,-2,0,0,0,0,0,23-25,19,-12,0.0,0.0
300000,2,3.0,1.0,39,-1,-1,1117,0,0,0,0,38-40,10,-10,1117.0,0.0
210000,2,1.0,2.0,39,1,-2,0,0,0,0,0,38-40,10,-9,0.0,0.0
70000,2,3.0,1.0,71,0,0,64670,66197,3166,6550,0,53-79,18,2,360244.0,15372.0
210000,2,2.0,2.0,29,1,1,1767,-3355,0,0,0,28-29,3,-3,-1518.0,14000.0
440000,1,1.0,1.0,31,1,2,274263,267233,0,100006,1,30-31,1,7,1313649.0,118006.0
410000,1,1.0,2.0,33,-1,-1,4111,874,897,26880,0,31-33,2,-3,93354.0,64527.0
110000,1,1.0,1.0,36,0,0,104498,107819,5000,4823,0,35-37,13,0,459914.0,17823.0
200000,2,1.0,2.0,36,0,0,120869,0,0,0,0,35-37,13,-8,120869.0,0.0
180000,2,3.0,1.0,42,-1,-1,2069,2675,2675,448,1,41-43,14,-5,40853.0,49179.0
150000,2,1.0,1.0,46,0,0,21787,22817,1382,1699,0,43-46,15,0,152171.0,11995.0
